,id,source,severity,distance(mi),description,street,city,county,state,zipcode,country,timezone,airport_code,temperature(f),wind_chill(f),humidity(%),pressure(in),visibility(mi),wind_direction,wind_speed(mph),weather_condition,amenity,bump,crossing,give_way,junction,no_exit,railway,roundabout,station,stop,traffic_calming,traffic_signal,turning_loop,sunrise_sunset,civil_twilight,nautical_twilight,astronomical_twilight,s_date,s_time,e_date,e_time,weather_time
166,A-167,Source2,2,0.0,Accident on County Hwy-208 Auburn Rd at County Hwy-50 Scott Rd.,N Auburn Rd,Tiro,Crawford,OH,44887-9600,US,US/Eastern,KMFD,32.0,26.4,100.0,29.88,0.5,ESE,5.8,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-15,21:09:25,2016-02-15,21:39:25,20:52:00
167,A-168,Source2,3,0.01,One lane blocked due to accident on I-270 Outerbelt Westbound at Exit 23 US-23 High St. Expect delays.,N High St,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,32.0,24.8,100.0,29.71,1.2,NW,8.1,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-16,04:05:51,2016-02-16,04:35:51,03:53:00
168,A-169,Source2,3,0.01,Accident on I-77 Northbound at Exit 138 Ghent Rd. Expect delays.,I-77 S,Akron,Summit,OH,44333,US,US/Eastern,KAKR,34.0,28.0,89.0,29.67,1.2,North,6.9,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-16,04:32:29,2016-02-16,05:02:29,04:54:00
169,A-170,Source2,3,0.01,Accident on I-71 Northbound at Exit 94 US-62 Harrisburg Pike. Expect delays.,I-71 N,Orient,Franklin,OH,43146,US,US/Eastern,KTZR,32.2,25.8,100.0,29.7,3.0,NW,6.9,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-16,05:22:24,2016-02-16,05:52:24,05:15:00
170,A-171,Source2,2,0.0,Accident on Wright Rd at Bowen Rd. Expect delays.,Bowen Rd,Canal Winchester,Franklin,OH,43110,US,US/Eastern,KLCK,32.0,26.4,99.0,29.69,2.5,NNW,5.8,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-16,05:37:52,2016-02-16,06:07:52,05:35:00
171,A-172,Source2,3,0.01,One lane blocked due to accident on I-270 Outerbelt Westbound at Exit 23 US-23 High St.,N High St,Columbus,Franklin,OH,43235,US,US/Eastern,KOSU,33.1,26.1,96.0,29.71,5.0,NNW,8.1,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016-02-16,06:05:20,2016-02-16,06:50:20,05:53:00
172,A-173,Source2,3,0.01,Accident on I-270 Outerbelt Northbound at Exits 17A 17B US-33 Columbus Marysville Rd. Expect delays.,Columbus Marysville Rd N,Dublin,Franklin,OH,43017,US,US/Eastern,KOSU,33.1,26.1,96.0,29.71,5.0,NNW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016-02-16,06:17:32,2016-02-16,06:47:32,05:53:00
173,A-174,Source2,2,0.01,Accident on Scioto Darby Rd at Dublin Rd. Expect delays.,Scioto Darby Rd,Columbus,Franklin,OH,43221,US,US/Eastern,KOSU,32.0,23.0,96.0,29.71,5.0,NNW,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2016-02-16,06:32:55,2016-02-16,07:02:55,06:53:00
174,A-175,Source2,2,0.01,Accident on OH-3 Westerville Rd at Ferris Rd / Walnut Creek Dr. Expect delays.,Westerville Rd,Columbus,Franklin,OH,43224-2585,US,US/Eastern,KCMH,32.0,23.6,92.0,29.71,2.0,NNW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-16,06:29:15,2016-02-16,06:59:15,06:51:00
175,A-176,Source2,2,0.0,Accident on Karwin Dr at Otterbein Ave. Expect delays.,Otterbein Ave,Dayton,Montgomery,OH,45406-3629,US,US/Eastern,KDAY,30.9,22.2,96.0,29.78,2.0,NW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-16,06:39:15,2016-02-16,07:09:15,06:56:00
176,A-177,Source2,3,1.65,Left hand shoulder blocked due to accident on I-71 Southbound from Exit 105 Greenlawn Ave to Exit 104 OH-104 Frank Rd.,Frank Rd,Columbus,Franklin,OH,43223,US,US/Eastern,KTZR,32.2,25.8,100.0,29.69,4.0,NNW,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-16,06:34:11,2016-02-16,07:04:11,06:15:00
177,A-178,Source2,3,0.01,One lane blocked due to jackknifed truck on I-71 Southbound at Exits 231 231A 231B OH-82 Royalton Rd. Expect delays.,I-71 N,Strongsville,Cuyahoga,OH,44136,US,US/Eastern,KCLE,32.0,24.8,92.0,29.73,1.8,North,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-16,06:47:00,2016-02-16,07:17:00,06:51:00
178,A-179,Source2,2,0.01,Accident on Alpha Bellbrook Rd at Indian Ripple Rd. Expect delays.,Indian Ripple Rd,Beavercreek,Montgomery,OH,45440-3606,US,US/Eastern,KMGY,32.0,24.8,88.0,29.76,3.0,NW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-16,06:50:07,2016-02-16,07:20:07,06:53:00
179,A-180,Source2,2,0.01,Accident on Alum Creek Dr at Toy Rd. Expect delays.,Toy Rd,Groveport,Franklin,OH,43125,US,US/Eastern,KLCK,32.0,24.8,99.0,29.7,7.0,NW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2016-02-16,06:50:44,2016-02-16,07:20:44,06:55:00
180,A-181,Source2,3,0.01,Left hand shoulder blocked due to accident on I-70 Westbound at Exit 97 US-40 Broad St.,I-70 E,Columbus,Franklin,OH,43223,US,US/Eastern,KTZR,32.0,25.6,100.0,29.72,3.0,NNW,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-16,07:02:31,2016-02-16,07:32:31,07:25:00
181,A-182,Source2,2,0.01,One lane blocked due to accident on US-23 US Highway 23 Southbound at US-22 US Highway 22 / US-22. Expect delays.,OH-56,Circleville,Pickaway,OH,43113,US,US/Eastern,KLCK,32.0,23.6,99.0,29.71,7.0,NW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-16,07:10:35,2016-02-16,07:40:35,07:15:00
182,A-183,Source2,2,0.01,Accident on Southwest Blvd at Farm Bank Way.,Southwest Blvd,Grove City,Franklin,OH,43123-2251,US,US/Eastern,KTZR,32.0,25.6,100.0,29.72,3.0,NNW,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-16,07:12:17,2016-02-16,07:42:17,07:25:00
183,A-184,Source2,2,0.01,Accident on OH-48 Main St at Fairview Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405-3527,US,US/Eastern,KDAY,30.0,21.1,100.0,29.75,2.0,NNW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-16,07:29:07,2016-02-16,07:59:07,07:27:00
184,A-185,Source2,3,0.01,Accident on I-71 Northbound at Exits 119 119A 119B I-270 Outerbelt. Expect delays.,Outerbelt W,Columbus,Franklin,OH,43085,US,US/Eastern,KOSU,32.0,24.2,96.0,29.75,3.0,NW,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,07:52:41,2016-02-16,08:22:41,07:53:00
185,A-186,Source2,2,0.01,Accident on US-42 2nd St at US-42 Hedges St / 2nd St. Expect delays.,E 2nd St,Mansfield,Richland,OH,44902-2068,US,US/Eastern,KMFD,30.0,21.1,100.0,29.73,5.0,NNW,10.4,Overcast,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,2016-02-16,07:55:23,2016-02-16,08:25:23,07:52:00
186,A-187,Source2,3,0.01,Accident on I-77 Southbound at Exit 130 OH-261 Vernon Odom Blvd. Expect delays.,Vernon Odom Blvd,Akron,Summit,OH,44320-4026,US,US/Eastern,KAKR,34.0,28.0,89.0,29.68,1.8,North,6.9,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,07:56:09,2016-02-16,08:26:09,07:54:00
187,A-188,Source2,3,0.01,One lane blocked due to accident on I-270 Outerbelt Northbound at Exit 37 OH-317 Hamilton Rd. Expect delays.,N Hamilton Rd,Columbus,Franklin,OH,43230,US,US/Eastern,KCMH,32.0,24.8,88.0,29.75,5.0,NNW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,07:58:47,2016-02-16,08:28:47,07:51:00
188,A-189,Source2,2,0.01,Accident on US-23 Indianola Ave at Dunedin Rd.,Indianola Ave,Columbus,Franklin,OH,43214-3810,US,US/Eastern,KOSU,32.0,24.2,96.0,29.75,3.0,NW,9.2,Overcast,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,2016-02-16,08:13:51,2016-02-16,08:43:51,07:53:00
189,A-190,Source2,2,1.65,One lane blocked due to accident on OH-32 Appalachian Hwy Westbound from County Hwy-13 Lawshe Rd to Barry McFarland Dr.,Appalachian Hwy,Peebles,Adams,OH,45660,US,US/Eastern,KILN,30.9,22.8,100.0,29.76,1.0,WNW,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,08:20:32,2016-02-16,08:50:32,08:12:00
190,A-191,Source2,3,0.01,One lane blocked due to accident on I-70 Westbound at Exit 95 Fisher Rd. Expect delays.,N Hague Ave,Columbus,Franklin,OH,43204-2174,US,US/Eastern,KTZR,32.0,28.7,100.0,29.77,2.5,NW,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,08:26:30,2016-02-16,08:56:30,08:47:00
191,A-192,Source2,2,0.01,Accident on Gettysburg Ave at Free Pike. Expect delays.,Free Pike,Dayton,Montgomery,OH,45416-1234,US,US/Eastern,KDAY,30.0,23.2,96.0,29.79,1.5,NW,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-16,08:36:20,2016-02-16,09:06:20,08:41:00
192,A-193,Source2,3,0.01,Accident on I-270 Outerbelt Northbound at Exit 32 Morse Rd. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43230,US,US/Eastern,KCMH,32.0,24.8,88.0,29.78,4.0,NW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,08:42:17,2016-02-16,09:12:17,08:51:00
193,A-194,Source2,2,0.01,Accident on Groveport Rd at Rager Rd. Expect delays.,Groveport Rd,Canal Winchester,Franklin,OH,43110,US,US/Eastern,KLCK,32.0,26.4,97.0,29.76,3.0,NW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,08:41:46,2016-02-16,09:11:46,08:35:00
194,A-195,Source2,2,0.01,One lane blocked due to accident on OH-315 Olentangy Fwy Southbound at Exit 7 Olentangy River Rd. Expect delays.,W Henderson Rd,Columbus,Franklin,OH,43214,US,US/Eastern,KOSU,32.0,26.4,96.0,29.78,2.5,NW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,08:57:31,2016-02-16,09:27:31,08:53:00
195,A-196,Source2,2,0.01,Lane blocked on exit ramp due to accident on Olentangy River Rd Northbound at Olentangy River Rd / Henderson Rd.,W Henderson Rd,Columbus,Franklin,OH,43214,US,US/Eastern,KOSU,33.1,24.9,92.0,29.77,2.5,WNW,10.4,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,10:03:00,2016-02-16,13:00:00,10:00:00
196,A-197,Source2,2,0.0,Accident on Radio Rd at Smithville Rd. Expect delays.,Radio Rd,Dayton,Greene,OH,45431-1035,US,US/Eastern,KFFO,31.1,25.4,88.0,29.86,6.0,WNW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,10:58:52,2016-02-16,11:28:52,10:58:00
197,A-198,Source2,2,0.01,Accident on Alex Bell Rd at OH-741 Springboro Pike. Expect delays.,Springboro Pike,Dayton,Montgomery,OH,45449-2808,US,US/Eastern,KMGY,30.9,22.8,76.0,29.81,6.0,WNW,9.2,Haze,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-16,11:12:18,2016-02-16,11:42:18,11:29:00
198,A-199,Source2,2,0.01,Accident on Riverview Ave at Salem Ave. Expect delays.,Salem Ave,Dayton,Montgomery,OH,45406,US,US/Eastern,KDAY,30.0,24.1,92.0,29.82,1.8,NW,5.8,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-16,11:11:35,2016-02-16,11:41:35,11:06:00
199,A-200,Source2,2,0.0,Accident on Kuntz Rd at Janney Rd. Expect delays.,Kuntz Rd,Dayton,Montgomery,OH,45404-1222,US,US/Eastern,KFFO,31.1,25.4,88.0,29.86,6.0,WNW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,11:10:17,2016-02-16,11:40:17,10:58:00
200,A-201,Source2,2,0.0,Accident on Hazel Ave at Russell Ave. Expect delays.,Russell Ave,Dayton,Montgomery,OH,45420,US,US/Eastern,KFFO,31.1,25.4,88.0,29.86,6.0,WNW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,11:11:03,2016-02-16,11:41:03,10:58:00
201,A-202,Source2,3,0.01,Accident on I-270 Outerbelt Westbound at Exits 17A 17B US-33 Columbus Marysville Rd. Expect delays.,Columbus Marysville Rd N,Dublin,Franklin,OH,43017,US,US/Eastern,KOSU,32.0,23.0,92.0,29.78,2.5,West,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,11:32:10,2016-02-16,12:02:10,11:36:00
202,A-203,Source2,3,0.01,One lane blocked and queueing traffic due to accident on I-64 Eastbound at Exit 39 WV-34.,WV-34,Hurricane,Putnam,WV,25526,US,US/Eastern,KCRW,35.1,27.9,89.0,29.81,2.0,WSW,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,13:46:09,2016-02-16,14:16:09,13:54:00
203,A-204,Source2,2,0.01,Accident on OH-4 Keowee St at OH-4 Keowee St.,N Keowee St,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,32.4,25.3,79.0,29.81,10.0,West,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-16,14:02:11,2016-02-16,14:47:11,13:58:00
204,A-205,Source2,3,0.01,Entry ramp closed due to accident on I-270 Outerbelt Westbound at Exits 35A 35B I-670 Northeast Fwy.,Northeast Fwy S,Columbus,Franklin,OH,43230,US,US/Eastern,KCMH,32.0,24.2,75.0,29.82,7.0,WNW,9.2,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-16,16:47:00,2016-02-16,21:00:00,16:51:00
205,A-206,Source2,2,0.01,Accident on Main St at Jasper Ave / Patton St. Expect delays.,E Main St,Xenia,Greene,OH,45385-3309,US,US/Eastern,KFFO,30.4,26.9,90.0,30.08,10.0,West,3.5,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016-02-17,05:31:16,2016-02-17,06:01:16,05:58:00
206,A-207,Source2,2,0.01,Accident on Dona Ave at Broadway St. Expect delays.,S Broadway St,Dayton,Montgomery,OH,45417-3913,US,US/Eastern,KDAY,30.0,23.2,88.0,30.07,6.0,WNW,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-17,05:45:55,2016-02-17,06:15:55,05:56:00
207,A-208,Source2,2,0.01,Accident on US-62 Main St at 2nd St / Civic Center Dr. Expect delays.,S 2nd St,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,28.4,21.2,80.0,30.05,7.0,WNW,6.9,Overcast,True,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2016-02-17,06:27:01,2016-02-17,06:57:01,06:46:00
208,A-209,Source2,2,0.01,Accident on OH-133 State Route 133 near Tudor Ln. Expect delays.,State Route 133,Bethel,Clermont,OH,45106-8345,US,US/Eastern,KI69,30.9,27.5,91.0,30.07,7.0,West,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-17,06:32:23,2016-02-17,07:02:23,06:37:00
209,A-210,Source2,2,0.01,Accident on OH-21 Northbound at I-77. Expect delays.,I-77 N,Akron,Summit,OH,44321,US,US/Eastern,KAKR,28.0,21.7,81.0,30.03,7.0,SW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016-02-17,06:44:13,2016-02-17,07:14:13,06:54:00
210,A-211,Source2,3,0.01,Right hand shoulder blocked due to accident on I-90 Eastbound at OH-2.,OH-2 W,Elyria,Lorain,OH,44035,US,US/Eastern,KLPR,28.0,20.8,85.0,30.03,6.0,West,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-17,07:10:58,2016-02-17,07:40:58,07:20:00
211,A-212,Source2,3,0.01,Accident on I-75 Southbound before Exit 50B OH-741 Springboro Rd. Expect delays.,I-75 N,Dayton,Montgomery,OH,45439,US,US/Eastern,KMGY,30.0,24.1,82.0,30.07,5.0,West,5.8,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-17,07:14:08,2016-02-17,07:44:08,07:06:00
212,A-213,Source2,3,0.01,Accident on I-77 Northbound at Exit 130 OH-261 Vernon Odom Blvd. Expect delays.,Vernon Odom Blvd,Akron,Summit,OH,44320-4026,US,US/Eastern,KAKR,28.0,21.7,81.0,30.03,7.0,SW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:22:56,2016-02-17,07:52:56,06:54:00
213,A-214,Source2,2,0.0,Accident on Wildwood Ave at Stewart St. Expect delays.,W Stewart St,Dayton,Montgomery,OH,45417-3933,US,US/Eastern,KDAY,30.0,22.4,92.0,30.14,3.0,NW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:29:02,2016-02-17,07:59:02,07:56:00
214,A-215,Source2,3,0.01,Accident on I-70 Westbound at Exits 112 112A 112B OH-256 Hill Rd. Expect delays.,Hill Rd N,Pickerington,Fairfield,OH,43147,US,US/Eastern,KLHQ,30.0,26.5,79.0,30.08,7.0,WSW,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:30:19,2016-02-17,08:00:19,07:28:00
215,A-216,Source2,2,0.01,Accident on Alex Bell Rd at OH-741 Springboro Pike. Expect delays.,Springboro Pike,Dayton,Montgomery,OH,45449-2808,US,US/Eastern,KMGY,30.0,25.2,85.0,30.12,3.0,West,4.6,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-17,07:40:55,2016-02-17,08:10:55,07:53:00
216,A-217,Source2,2,1.73,Accident on OH-133 State Route 133 from Macedonia Rd to Clover Rd. Expect delays.,Clover Rd,Bethel,Clermont,OH,45106-8301,US,US/Eastern,KI69,31.1,24.5,92.0,30.11,7.0,West,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:39:25,2016-02-17,08:09:25,07:37:00
217,A-218,Source2,2,0.01,Right hand shoulder blocked due to accident on OH-161 New Albany Expy Westbound at Little Turtle Way / Dublin Granville Rd.,New Albany Expy W,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,30.2,23.4,75.0,30.08,5.0,West,6.9,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:43:28,2016-02-17,08:13:28,07:44:00
218,A-219,Source2,3,0.01,Accident on I-76 Eastbound at Exit 16 Barber Rd. Expect delays.,Barber Rd,Barberton,Summit,OH,44203,US,US/Eastern,KAKR,28.0,22.8,81.0,30.06,6.0,WSW,4.6,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:52:09,2016-02-17,08:22:09,07:54:00
219,A-220,Source2,2,0.0,Accident on Washington St at Cincinnati St. Expect delays.,Washington St,Dayton,Montgomery,OH,45402-8457,US,US/Eastern,KFFO,30.7,24.9,90.0,30.14,4.0,WNW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,08:02:55,2016-02-17,08:32:55,07:58:00
220,A-221,Source2,2,0.01,Accident on US-35 Eastbound at Smithville Rd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,30.7,24.9,90.0,30.14,4.0,WNW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,08:04:44,2016-02-17,08:34:44,07:58:00
221,A-222,Source2,3,0.01,One lane blocked due to accident on I-76 Eastbound at Exit 14 Cleveland Massillon Rd.,US-224 E,Barberton,Summit,OH,44203,US,US/Eastern,KAKR,28.4,21.2,80.0,30.02,6.0,WSW,6.9,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,07:49:00,2016-02-17,21:00:00,07:50:00
222,A-223,Source2,2,0.0,Accident on Repp Rd at County Hwy-34 Franchester Rd.,Franchester Rd,Burbank,Wayne,OH,44214-9603,US,US/Eastern,KBJJ,27.0,18.0,85.0,30.08,4.0,WSW,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,08:17:11,2016-02-17,08:47:11,07:56:00
223,A-224,Source2,3,0.01,Accident on I-480 Eastbound at Exit 20A-B I-77. Expect delays.,Outerbelt South Fwy W,Independence,Cuyahoga,OH,44131,US,US/Eastern,KBKL,30.0,21.1,82.0,30.05,6.0,WSW,10.4,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,08:28:56,2016-02-17,08:58:56,08:15:00
224,A-225,Source2,2,0.01,Accident on Nicholas Rd at Danner Ave. Expect delays.,Nicholas Rd,Dayton,Montgomery,OH,45417-6720,US,US/Eastern,KDAY,30.0,22.4,96.0,30.18,2.5,NW,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,08:33:39,2016-02-17,09:03:39,08:56:00
225,A-226,Source2,3,0.01,Accident on I-75 Southbound at Exits 54A 54B OH-4. Expect delays.,I-75 S,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,31.1,25.4,92.0,30.18,6.0,WNW,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,08:59:18,2016-02-17,09:29:18,08:58:00
226,A-227,Source2,2,0.01,Accident on OH-48 Main St at Pointview Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405-2858,US,US/Eastern,KDAY,32.0,26.4,88.0,30.2,4.0,West,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,10:00:29,2016-02-17,10:30:29,09:56:00
227,A-228,Source2,3,0.01,One lane blocked due to accident on I-70 Westbound at Exit 152 US-40 West Pike. Expect delays.,I-70 W,Zanesville,Muskingum,OH,43701,US,US/Eastern,KZZV,33.1,27.7,72.0,30.16,5.0,West,5.8,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,10:19:04,2016-02-17,10:49:05,09:53:00
228,A-229,Source2,2,0.0,Accident on Cobblegate Dr at Alex Bell Rd. Expect delays.,W Alex Bell Rd,Dayton,Montgomery,OH,45459-1122,US,US/Eastern,KMGY,32.0,26.4,82.0,30.18,4.0,West,5.8,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,10:32:29,2016-02-17,11:02:29,10:30:00
229,A-230,Source2,2,0.01,Entry ramp closed due to accident on OH-18 Deshler Rd at I-75.,I-75 N,North Baltimore,Wood,OH,45872,US,US/Eastern,KFDY,33.1,23.9,82.0,30.14,3.0,West,12.7,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,10:22:00,2016-02-17,21:00:00,09:53:00
230,A-231,Source2,2,0.01,Accident on OH-741 Springboro Pike at Ferndown Dr.,Ferndown Dr,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,35.1,32.2,67.0,30.23,9.0,NW,3.5,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-17,12:57:34,2016-02-17,13:27:34,12:53:00
231,A-232,Source2,2,0.01,Accident on Hillcrest Ave at Falmouth Ave.,W Hillcrest Ave,Dayton,Montgomery,OH,45406-2543,US,US/Eastern,KDAY,36.0,28.5,59.0,30.23,10.0,NNW,10.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016-02-17,13:25:09,2016-02-17,14:10:09,12:56:00
232,A-233,Source2,2,0.0,Accident on Nationwide Blvd at Front St. Approach with care.,W Nationwide Blvd,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,35.1,26.4,61.0,30.26,9.0,West,12.7,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016-02-17,17:17:12,2016-02-17,18:02:12,16:51:00
233,A-234,Source2,2,0.01,Accident on Groveport Rd at Watkins Rd.,Watkins Rd,Columbus,Franklin,OH,43207-2661,US,US/Eastern,KLCK,31.1,27.7,69.0,30.39,10.0,NW,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016-02-18,04:25:02,2016-02-18,04:55:02,04:35:00
234,A-235,Source2,2,0.01,Accident on Little York Rd at Webster St. Expect delays.,Little York Rd,Dayton,Montgomery,OH,45414-2507,US,US/Eastern,KDAY,27.0,23.36869565217391,81.0,30.45,7.0,Calm,9.841448058761804,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016-02-18,05:46:52,2016-02-18,06:16:52,05:56:00
235,A-236,Source2,2,0.01,Accident on OH-17 Granger Rd at Canal Rd. Expect delays.,Granger Rd,Cleveland,Cuyahoga,OH,44125-4827,US,US/Eastern,KBKL,19.0,11.1,71.0,30.52,10.0,SE,5.8,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day,2016-02-18,06:27:59,2016-02-18,06:57:59,06:53:00
236,A-237,Source2,3,0.01,One lane blocked due to accident on I-70 Westbound at Exits 112 112A 112B OH-256 Hill Rd. Expect delays.,Hill Rd N,Pickerington,Fairfield,OH,43147,US,US/Eastern,KLHQ,28.0,21.7,78.0,30.48,9.0,NNE,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016-02-18,07:00:26,2016-02-18,07:30:26,06:53:00
